champion_name,role,total_matches,wins,win_rate
Ornn,UTILITY,1,0,0.0
Pantheon,JUNGLE,13,5,38.46153846153847
Pantheon,MIDDLE,7,2,28.57142857142857
Pantheon,TOP,30,19,63.33333333333333
Pantheon,UTILITY,10,6,60.0
Poppy,BOTTOM,2,0,0.0
Poppy,JUNGLE,32,17,53.125
Poppy,TOP,52,30,57.692307692307686
Poppy,UTILITY,149,80,53.691275167785236
Pyke,MIDDLE,1,0,0.0
Pyke,UTILITY,300,152,50.66666666666667
Qiyana,BOTTOM,4,2,50.0
Qiyana,JUNGLE,16,7,43.75
Qiyana,MIDDLE,72,32,44.44444444444444
Qiyana,TOP,5,4,80.0
Qiyana,UTILITY,2,0,0.0
Quinn,MIDDLE,3,2,66.66666666666666
Quinn,TOP,16,8,50.0
Quinn,UTILITY,1,0,0.0
Rakan,TOP,7,2,28.57142857142857
Rakan,UTILITY,279,144,51.61290322580645
Rammus,JUNGLE,31,10,32.25806451612903
Rammus,TOP,2,1,50.0
Rek'Sai,JUNGLE,100,59,59.0
Rek'Sai,MIDDLE,2,1,50.0
Rek'Sai,TOP,1,1,100.0
Rek'Sai,UTILITY,2,2,100.0
Rell,UTILITY,243,119,48.971193415637856
Renata Glasc,UTILITY,83,44,53.01204819277109
Renekton,MIDDLE,7,2,28.57142857142857
Renekton,TOP,203,88,43.34975369458128
Rengar,JUNGLE,94,47,50.0
Rengar,TOP,3,1,33.33333333333333
Riven,MIDDLE,9,3,33.33333333333333
Riven,TOP,244,127,52.04918032786885
Rumble,JUNGLE,2,1,50.0
Rumble,TOP,71,33,46.478873239436616
Rumble,UTILITY,5,1,20.0
Ryze,JUNGLE,1,0,0.0
Ryze,MIDDLE,58,26,44.827586206896555
Ryze,TOP,24,12,50.0
Samira,BOTTOM,57,31,54.385964912280706
Samira,TOP,1,1,100.0
Sejuani,JUNGLE,21,6,28.57142857142857
Sejuani,MIDDLE,1,1,100.0
Sejuani,TOP,3,2,66.66666666666666
Senna,BOTTOM,2,0,0.0
Senna,UTILITY,156,70,44.871794871794876
Seraphine,BOTTOM,59,29,49.152542372881356
Seraphine,MIDDLE,3,1,33.33333333333333
Seraphine,UTILITY,78,42,53.84615384615385
Sett,BOTTOM,1,0,0.0
Sett,MIDDLE,1,0,0.0
Sett,TOP,40,16,40.0
Shaco,JUNGLE,122,66,54.09836065573771
Shaco,MIDDLE,1,0,0.0
Shaco,TOP,1,0,0.0
Shaco,UTILITY,16,5,31.25
Shen,BOTTOM,3,1,33.33333333333333
Shen,MIDDLE,5,2,40.0
Shen,TOP,117,62,52.991452991452995
Shen,UTILITY,15,4,26.666666666666668
Shyvana,JUNGLE,5,1,20.0
Shyvana,TOP,2,1,50.0
Singed,JUNGLE,4,0,0.0
Singed,TOP,38,24,63.1578947368421
Singed,UTILITY,2,1,50.0
Sion,BOTTOM,2,1,50.0
Sion,JUNGLE,1,0,0.0
Sion,MIDDLE,3,1,33.33333333333333
Sion,TOP,49,20,40.816326530612244
Sivir,BOTTOM,64,34,53.125
Skarner,BOTTOM,1,1,100.0
Skarner,JUNGLE,254,140,55.118110236220474
Skarner,MIDDLE,1,1,100.0
Skarner,TOP,12,6,50.0
Skarner,UTILITY,2,2,100.0
Sona,TOP,1,1,100.0
Sona,UTILITY,122,61,50.0
Soraka,BOTTOM,4,3,75.0
Soraka,TOP,2,1,50.0
Soraka,UTILITY,81,47,58.0246913580247
Swain,BOTTOM,52,31,59.61538461538461
Swain,MIDDLE,79,43,54.43037974683544
Swain,TOP,25,17,68.0
Swain,UTILITY,28,11,39.285714285714285
Sylas,BOTTOM,2,1,50.0
Sylas,JUNGLE,7,3,42.857142857142854
Sylas,MIDDLE,442,240,54.29864253393665
Sylas,TOP,22,7,31.818181818181817
Sylas,UTILITY,38,15,39.473684210526315
Syndra,BOTTOM,29,13,44.827586206896555
Syndra,MIDDLE,229,114,49.78165938864629
Syndra,UTILITY,1,0,0.0
Tahm Kench,BOTTOM,5,4,80.0
Tahm Kench,TOP,31,13,41.935483870967744
Tahm Kench,UTILITY,55,28,50.90909090909091
Taliyah,BOTTOM,14,8,57.14285714285714
Taliyah,JUNGLE,106,56,52.83018867924528
Taliyah,MIDDLE,117,64,54.700854700854705
Taliyah,TOP,7,4,57.14285714285714
Taliyah,UTILITY,2,2,100.0
Talon,BOTTOM,3,0,0.0
Talon,JUNGLE,156,79,50.641025641025635
Talon,MIDDLE,109,56,51.37614678899083
Talon,TOP,2,2,100.0
Taric,JUNGLE,5,2,40.0
Taric,UTILITY,37,19,51.35135135135135
Teemo,JUNGLE,5,1,20.0
Teemo,MIDDLE,1,0,0.0
Teemo,TOP,18,8,44.44444444444444
Teemo,UTILITY,1,0,0.0
Thresh,UTILITY,230,111,48.26086956521739
Tristana,BOTTOM,71,39,54.929577464788736
Tristana,MIDDLE,26,17,65.38461538461539
Tristana,TOP,4,2,50.0
Trundle,BOTTOM,1,1,100.0
Trundle,JUNGLE,2,0,0.0
Trundle,TOP,17,10,58.82352941176471
Tryndamere,MIDDLE,14,6,42.857142857142854
Tryndamere,TOP,34,19,55.88235294117647
Twisted Fate,MIDDLE,42,16,38.095238095238095
Twisted Fate,TOP,5,3,60.0
Twitch,BOTTOM,12,5,41.66666666666667
Twitch,MIDDLE,1,1,100.0
Udyr,JUNGLE,135,68,50.37037037037037
Udyr,MIDDLE,6,3,50.0
Udyr,TOP,3,0,0.0
Urgot,BOTTOM,1,1,100.0
Urgot,MIDDLE,2,1,50.0
Urgot,TOP,48,27,56.25
Urgot,UTILITY,1,0,0.0
Varus,BOTTOM,202,96,47.524752475247524
Varus,MIDDLE,5,1,20.0
Varus,TOP,18,10,55.55555555555556
Vayne,BOTTOM,17,9,52.94117647058824
Vayne,MIDDLE,3,0,0.0
Vayne,TOP,21,6,28.57142857142857
Veigar,BOTTOM,7,5,71.42857142857143
Veigar,MIDDLE,35,18,51.42857142857142
Veigar,TOP,3,1,33.33333333333333
Veigar,UTILITY,8,4,50.0
Vel'Koz,MIDDLE,8,2,25.0
Vel'Koz,UTILITY,17,8,47.05882352941176
Vex,MIDDLE,58,37,63.793103448275865
Vex,TOP,3,2,66.66666666666666
Vi,JUNGLE,239,118,49.37238493723849
Vi,TOP,1,0,0.0
Vi,UTILITY,1,0,0.0
Viego,JUNGLE,677,337,49.77843426883309
Viego,MIDDLE,5,1,20.0
Viego,TOP,1,0,0.0
Viktor,BOTTOM,8,3,37.5
Viktor,MIDDLE,65,31,47.69230769230769
Viktor,TOP,2,2,100.0
Vladimir,BOTTOM,1,0,0.0
Vladimir,MIDDLE,40,15,37.5
Vladimir,TOP,37,18,48.64864864864865
Volibear,JUNGLE,40,12,30.0
Volibear,MIDDLE,3,1,33.33333333333333
Volibear,TOP,82,42,51.21951219512195
Warwick,JUNGLE,3,2,66.66666666666666
Warwick,TOP,21,16,76.19047619047619
Wukong,JUNGLE,276,139,50.36231884057971
Wukong,MIDDLE,2,1,50.0
Wukong,TOP,13,6,46.15384615384615
Xayah,BOTTOM,55,27,49.09090909090909
Xayah,MIDDLE,2,0,0.0
Xayah,UTILITY,1,0,0.0
Xerath,BOTTOM,8,5,62.5
Xerath,MIDDLE,29,12,41.37931034482759
Xerath,UTILITY,12,3,25.0
Xin Zhao,JUNGLE,169,82,48.5207100591716
Xin Zhao,MIDDLE,6,2,33.33333333333333
Xin Zhao,TOP,4,3,75.0
Xin Zhao,UTILITY,1,0,0.0
Yasuo,BOTTOM,80,40,50.0
Yasuo,MIDDLE,198,109,55.05050505050505
Yasuo,TOP,48,21,43.75
Yone,BOTTOM,3,1,33.33333333333333
Yone,MIDDLE,347,165,47.55043227665706
Yone,TOP,149,76,51.006711409395976
Yorick,JUNGLE,2,0,0.0
Yorick,TOP,7,0,0.0
Yuumi,UTILITY,12,5,41.66666666666667
Zac,BOTTOM,2,1,50.0
Zac,JUNGLE,104,57,54.807692307692314
Zac,MIDDLE,25,14,56.00000000000001
Zac,TOP,54,36,66.66666666666666
Zac,UTILITY,39,26,66.66666666666666
Zed,BOTTOM,3,2,66.66666666666666
